58 4 29 10 6 9 47 17 42 49  Messreihe 1
54 68 65 51 100 40 76 66 6 66  Messreihe 2
87 23 22 77 77 76 47 56 74 2  Messreihe 3
64 79 7 55 91 99 28 30 46 82  Messreihe 4
16 13 1 70 88 8 54 87 3 50  Messreihe 5
25 1 65 81 70 27 11 36 63 45  Messreihe 6
43 36 13 40 52 24 20 104 8 103  Messreihe 7
97 66 10 73 100 94 97 29 17 89  Messreihe 8
12 13 15 60 0 55 90 0 99 73  Messreihe 9
3 88 51 69 49 28 53 108 29 97  Messreihe 10
96 99 56 15 81 8 24 79 45 41  Messreihe 11
100 35 49 37 27 66 61 88 62 49  Messreihe 12
73 67 66 111 34 38 105 73 95 80  Messreihe 13
54 41 29 46 21 102 5 111 42 6  Messreihe 14
3 57 15 37 81 68 85 81 96 72  Messreihe 15
46 13 40 90 84 95 37 7 31 78  Messreihe 16
89 33 42 32 89 25 15 12 83 57  Messreihe 17
60 1 44 110 69 17 30 35 68 26  Messreihe 18
45 81 79 37 2 49 59 86 104 20  Messreihe 19
65 75 40 107 91 33 109 53 105 44  Messreihe 20
